Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 011/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;01.894.432/0001-56;Sociedade Educacional Leonardo da Vinci Ltda;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 33.356/2023;concessão de estágio acadêmico obrigatório não remunerado a alunos regularmente matriculados na instituição CONVENENTE e que frequentem efetivamente os cursos de nutrição, serviço social, biomedicina, radiologia, farmácia, fisioterapia, enfermagem, ciências contábeis, artes visuais, dança, música, educação física, psicopedagogia, formação pedagógica em matemática, formação pedagógica em química, formação pedagógica em sociologia, filosofia, formação pedagógica em física, formação pedagógica em ciências biológicas, formação pedagógica em letras-libras, formação pedagógica em letras-português, formação pedagógica em letras-inglês, formação pedagógica em letras-espanhol, engenharia ambiental e sanitária, engenharia civil, engenharia mecânica, engenharia de produção, engenharia elétrica e arquitetura.;2023-11-21;05 (cinco) anos a contar da data da assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 010/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;47.007.362/0001-78;Centro Educacional Ibra Ltda;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 38.895/2023;Concessão de estágio acadêmico obrigatório não remunerado a alunos regularmente matriculados na instituição convenente e que frequentem efetivamente o(s) curso(s) de Educação Especial (licenciatura), Matemática (licenciatura), Letras (licenciatura) e Pedagogia (licenciatura).;2023-11-10;05 (cinco) anos a contar da data da assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 009/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.521.748/0001-59;Município de Niterói.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 45805/2022;Disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2023-09-15;31 de dezembro de 2024.;R$ 0,00;R$ 0,00;R$ 0,00;
 009/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;06.007.800/0001-10;Transforma Gerenciamento de Resíduos Ltda.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 008/2023; 42.268/2023;Serviços de coffee break, em contrapartida o município autorizará a publicidade do ato visando à apresentação e divulgação no evento: ?Macaé Empreendedora?, que será realizado na cidade de Macaé, nos dias 27, 28, 29 e 30 de novembro do corrente ano, de acordo com as normas públicas.;2023-11-24;27, 28, 29 e 30 de novembro de 2023;R$ 4.200,00;R$ 0,00;R$ 4.200,00;
 008/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;35.777.819/0001-44;Shop Solar do Brasil - Energia Solar Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 008/2023; 42.268/2023;Serviços de coffee break, em contrapartida o município autorizará a publicidade do ato visando à apresentação e divulgação no evento: ?Macaé Empreendedora?, que será realizado na cidade de Macaé, nos dias 27, 28, 29 e 30 de novembro do corrente ano, de acordo com as normas públicas.;2023-11-24;27, 28, 29 e 30 de novembro de 2023;R$ 1.680,00;R$ 0,00;R$ 1.680,00;
 008/2023;Prefeitura Municipal de Macaé;1º Aditivo;Convênio;79.265.617/0001-99;CESUMAR - Centro de Ensino Superior de Maringa Ltda.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica; 008/2023; 4902/2024;Modificação da cláusula primeira, caput  para inclusão do curso de Serviço Social.;2024-07-10;05 (cinco) anos a contar da data da assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 008/2023;Prefeitura Municipal de Macaé;2º Aditivo;Convênio;79.265.617/0001-99;CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGÁ LTDA;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 28.618/2025;Modificação da cláusula primeira, caput  para inclusão dos cursos de Educação Especial (Licenciatura) e Música (Licenciatura).;2025-11-27;05 (cinco) anos contado da data da sua assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 008/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;79.265.617/0001-99;Centro de Ensino Superior de Maringá Coelho.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 28.139/2023;Concessão de estágio acadêmico obrigatório não remunerado a alunos regularmente matriculados na instituição CONVENENTE e que frequentem efetivamente os cursos de graduação de psicopedagogia, sociologia, pedagogia, matemática, história, geografia, filosofia, educação física (licenciatura), ciências biológicas, artes visuais e letras.;2023-08-16;05 (cinco) anos a contar da data da assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 007/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;05.589.448/0001-06;Rodrilagos Distribuidora de Bebidas Ltda.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 008/2023; 42.268/2023;Serviços de coffee break, em contrapartida o município autorizará a publicidade do ato visando à apresentação e divulgação no evento: ?Macaé Empreendedora?, que será realizado na cidade de Macaé, nos dias 27, 28, 29 e 30 de novembro do corrente ano, de acordo com as normas públicas.;2023-11-24;27, 28, 29 e 30 de novembro de 2023;R$ 3.402,00;R$ 0,00;R$ 3.402,00;
 007/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;49.384.195/0001-00;Secretaria de Estado de Energia e Economia do Mar;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Não se Aplica;; 30.075/2023 - SEI nº 480001/000276/2023;Estabelecimento de parceria entre o Estado do Rio de Janeiro, através da SEENEMAR e do Município de Macaé, por meio da Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda e a Secretaria Municipal de Agroeconomia com a finalidade de desenvolver a ?Feira da Economia do Mar? no âmbito do Município de Macaé.;2023-07-26;03 meses, a partir da data de sua assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
