Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 011/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;08.599.767/0001-90;Estado do Rio de Janeiro, por intermédio da Secretaria de Estado de Infraestrutura e Obras;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 7441/2022;Mútua cooperação para realização de ações que fomentem o desenvolvimento da infraestrutura no Município de Macaé, especialmente o que tange a (às ações de ordenamento territorial e uso do solo, mobilidade urbana e habitação de interesse social  infraestrutura urbana: equipamentos públicos), cuja solução restou consignada no pleito apresentado e selecionado pela Secretaria de Estado de Infraestrutura e Obras ? contratação de empresa especializada em construção civil para reurbanização da Avenida Rui Barbosa, situado no Centro ? Macaé/RJ ? solicitado através do Programa Governo Presente nas Cidades.;2022-02-24;12 (doze) meses;R$ 0,00;R$ 0,00;R$ 0,00;
 009/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;33.402.939/0002-12;Aeroportos do Sudeste do Brasil S.A;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 12.000,00;R$ 0,00;R$ 12.000,00;
 008/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;29.884.534/0002-90;Marlim Azul Energia S.A;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 24.000,00;R$ 0,00;R$ 24.000,00;
 007/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;30.582.352/0001-63;Vagflex Gas Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 36.000,00;R$ 0,00;R$ 36.000,00;
 006/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;12.106.109/0001-97;L. Pinheiro Empreendimentos Imobiliários Ltda - Tríade Soluções Empresariais;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 0,00;R$ 0,00;R$ 0,00;
 005/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;26.910.420/0001-07;Prodetech Support Comércio e Serviços Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 10.500,00;R$ 0,00;R$ 10.500,00;
 004/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;02.199.357/0001-76;Cabiúnas Incorporações e Participações Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 12.000,00;R$ 0,00;R$ 12.000,00;
 004/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.115.466/0001-14;Município de Conceição de Macabu;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 49.344/2022;Disciplinamento das rotinas administrativas relacionadas à cessão de servidor pertencente ao Município de Macaé, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2022-12-21;31 de dezembro de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2022;Prefeitura Municipal de Macaé;1º Aditivo;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores da Alegria ? NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 002/2022; 34237/2023;Modificação das cláusulas terceira, caput e cláusula quinta, parágrafo quarto, bem como apresentação de novo plano de trabalho previamente aprovado às páginas 30/45 do processo administrativo nº 34.237/2023.;2023-10-18;12 (doze) meses a contar de 19/10/2023;R$ 269.531,00;R$ 0,00;R$ 269.531,00;
 003/2022;Prefeitura Municipal de Macaé;2º Aditivo;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores da Alegria ? NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade;; 29.684/2024;Modificação da cláusula terceira, caput e cláusula quinta, parágrafo quarto, bem como apresentação de novo plano de trabalho previamente aprovado.;2024-10-17;12 (doze) meses, a contar do dia 19 (dezenove) de outubro de 2024.;R$ 269.630,94;R$ 0,00;R$ 269.630,94;
 003/2022;Prefeitura Municipal de Macaé;1º Aditivo;Convênio;30.121.578/0001-67;Centro de Tecnologia de Informação e Comunicação do Estado do Rio de Janeiro;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 34.822/2021;Inclusão do parágrafo único na Cláusula Sexta do Convênio, visando prorrogar o prazo inicialmente estabelecido.;2024-12-06;1º de janeiro de 2025 à 31 de dezembro de 2027;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2022;Prefeitura Municipal de Macaé;Rescisão Contratual;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores de Alegria ? NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS, ACESSIBILIDADE E ECONOMIA SOLIDÁRIA;Inexigibilidade; 002/2022; 29.684/2024;Promover a melhoria na qualidade de vida das pessoas com deficiência, assegurando um espaço de convívio social, bem como estimular as potencialidades e ampliar o universo em diversos segmentos dos assistidos com a finalidade de integrar a pessoa com deficiência à dança, à arte, à cultura, ao esporte e o social, rompendo as barreiras da discriminação e fazendo das suas atividades instrumentos de descoberta do próprio.;2025-04-02;Rescisão em 02/04/2025;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;30.121.578/0001-67;Centro de Tecnologia de Informação e Comunicação do Estado do Rio de Janeiro;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 34822/2021;Disciplinamento das rotinas administrativas relacionadas à cessão de servidor pertencente ao Município de Macaé, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2022-10-06;até 31 de dezembro de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores da Alegria ? NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 002/2022; 32006/2022;Promover a melhoria na qualidade de vida das pessoas com deficiência, assegurando um espaço de convívio social, bem como estimular as potencialidades e ampliar o universo em diversos segmentos dos assistidos com a finalidade de integrar a pessoa com deficiência à dança, à arte, à cultura, ao esporte e o social, rompendo as barreiras da discriminação e fazendo das suas atividades instrumentos de descoberta do próprio.;2022-10-19;12 (doze) meses a contar da data de sua assinatura;R$ 269.817,28;R$ 0,00;R$ 269.817,28;
 003/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;43.738.288/0001-09;Bidd Digital Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 800,00;R$ 0,00;R$ 800,00;
 003/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Comodato;01.183.645/0001-70;Vilarejo de Macaé Materiais de Construção Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;O presente comodato tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2022;Prefeitura Municipal de Macaé;1º Aditivo;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé-RJ.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Chamamento Público; 001/2022; 27.844/2023;Modificação das cláusulas terceira, caput e cláusula quinta, parágrafo quarto, bem como apresentação de novo plano de trabalho previamente aprovado.;2023-09-26;12 (doze) meses, a contar do dia 27 (vinte e sete) de setembro de 2023.;R$ 1.176.500,00;R$ 0,00;R$ 1.176.500,00;
 002/2022;Prefeitura Municipal de Macaé;2º Aditivo;Acordo de Cooperação;23.612.685/0024-19;Superintendência Regional do Trabalho no Estado do Rio de Janeiro;SECRETARIA MUNICIPAL DE TRABALHO E RENDA;Não se Aplica;; 22.050/2024;Modificação da cláusula oitava, caput do Acordo de Cooperação Técnica, visando prorrogar o prazo inicialmente estabelecido.;2024-07-18;12 (doze) meses, a contar do dia 15 de agosto de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2022;Prefeitura Municipal de Macaé;2º Aditivo;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé-RJ.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 001/2022; 23.260/2024;Modificação das cláusulas terceira, caput e cláusula quinta, parágrafo quarto, bem como apresentação de novo plano de trabalho previamente aprovado.;2024-09-20;12 (doze) meses, a contar do dia 27 (vinte e sete) de setembro de 2024.;R$ 1.176.500,00;R$ 0,00;R$ 1.176.500,00;
 002/2022;Prefeitura Municipal de Macaé;Rescisão Contratual;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé/RJ;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS, ACESSIBILIDADE E ECONOMIA SOLIDÁRIA;Inexigibilidade; 001/2022; 23.260/2024;Atender de forma interdisciplinar as múltiplas demandas de pessoas com deficiência intelectual e múltipla e seus familiares, trabalhando numa perspectiva de inclusão social e participação na vida comunitária, proporcionando condições para que o assistido possa usufruir dos seus direitos e exercer sua cidadania, disponibilizando condições para pleno desenvolvimento das potencialidades individuais.;2025-04-02;Rescisão em 02/04/2025;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2022;Prefeitura Municipal de Macaé;3º Aditivo;Acordo de Cooperação;23.612.685/0024-19;SUPERINTENDÊNCIA REGIONAL DO TRABALHO DO ESTADO DO RIO DE JANEIRO.;SECRETARIA MUNICIPAL DE TRABALHO E RENDA;Não se Aplica;; SEI-002307/2025;Modificação da cláusula oitava, caput do Acordo de Cooperação Técnica, visando prorrogar o prazo inicialmente estabelecido.;2025-07-30;12 (doze) meses, a contar do dia 15 de agosto de 2025;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.561.041/0001-76;Município de Bom Jardim;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 10955/2022;Disciplinamento das rotinas administrativas relacionadas à cessão de servidor pertencente ao Município de Macaé, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido. (Município de Bom Jardim);2022-04-29;até 31 de dezembro de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2022;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;23.612.685/0024-19;Superintendência Regional do Trabalho no Estado do Rio de Janeiro;SECRETARIA MUNICIPAL ADJUNTA DE TRABALHO E RENDA;Não se Aplica;; 15.776/2022;Viabilização da manutenção da prestação de serviços públicos de grande relevância no âmbito trabalhista, como orientações sobre a CTPS digital, concessão do benefício seguro-desemprego, orientações sobre abono salarial (PIS), CAGED e empregador web, o que no Município de Macaé é de competência única da Agência Regional do Trabalho em Macaé.;2022-08-15;de 15 de agosto de 2022 a 14 de agosto de 2023;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé/RJ.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 001/2022; 26143/2022;Atender de forma interdisciplinar as múltiplas demandas de pessoas com deficiência intelectual e múltipla e seus familiares, trabalhando numa perspectiva de inclusão social e participação na vida comunitária, proporcionando condições para que o assistido possa usufruir dos seus direitos e exercer sua cidadania, disponibilizando condições para pleno desenvolvimento das potencialidades individuais.;2022-09-27;12 meses a contar da data de sua assinatura;R$ 1.176.500,00;R$ 0,00;R$ 1.176.500,00;
 002/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;15.009.603/0001-21;Bellavista Empreendimentos Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 10.000,00;R$ 0,00;R$ 10.000,00;
 002/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Comodato;12.106.109/0001-97;L. Pinheiro Empreendimentos Imobiliários Ltda - Tríade Soluções Empresariais;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;O presente comodato tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2022;Prefeitura Municipal de Macaé;1º Aditivo;Convênio;23.612.685/0024-19;Superintendência Regional do Trabalho no Estado do Rio de Janeiro.;SECRETARIA MUNICIPAL ADJUNTA DE TRABALHO E RENDA;Não se Aplica;; 19.919/2023;Modificação da cláusula oitava, caput do Acordo de Cooperação Técnica, visando prorrogar o prazo inicialmente estabelecido.;2023-08-14;12 (doze) meses, a contar do dia 15 de agosto de 2023;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2022;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;01.293.263/0001-07;Avante - Educação e Mobilização Social;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Não se Aplica;; 22.103/2021;Realização de ações relativas ao Projeto Primeira Infância Cidadã - PIC.;2022-01-31;Abril de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;38.733.648/0001-40;Editora e Distribuidora Educacional S.A.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 6688/2022;Concessão de estágio acadêmico obrigatório não remunerado a alunos regularmente matriculados na instituição convenente e que frequentem efetivamente o(s) curso(s) de Artes Visuais, Biomedicina, Educação Física, Bacharelado, Educação Física Licenciatura, Nutrição, Enfermagem, Farmácia, Fisioterapia, Geografia, História, Letras ? Português, Letras ? Inglês, Letras ? Espanhol, Matemática, Pedagogia e Serviço Social.;2022-03-24;5 ANOS A CONTAR DA DATA DA ASSINATURA;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Compromisso;26.989.715/0032-09;Ministério Público do Trabalho;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Não se Aplica;; 19131/2022;Estabelecimento de atribuições e procedimentos a serem adotados pelos órgãos e entidades envolvidas para a promoção de ações  com vista à realização dos Projetos ?MPT NA ESCOLA? e  ?SAÚDE E SEGURANÇA NAS ESCOLAS?.;2022-04-05;09 meses contados da assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;06.949.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Não se Aplica;; 15813/2021;Repasse financeiro proveniente da emenda Parlamentar nº 202039810006, Programação nº 330240320200001/2020 SIGTV - Sistema de Gestão de Transferências Voluntárias.;2022-06-28;12 meses a contar da data da publicação;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 001/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Doação;28.927.812/0001-04;Associação Comercial e Industrial de Macaé ? ACIM;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;Doação de serviços tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 5.000,00;R$ 0,00;R$ 5.000,00;
 001/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Comodato;03.921.757/0001-06;Anderson Cunha e Barros Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 004/2022; 36098/2022;O presente comodato tem como finalidade dar subsídios à Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Renda em estande na 20ª (vigésima) edição da Rio Oil & Gas, a ser realizado pelo Instituto Brasileiro de Petróleo e Gás - IBP, nos dias 26 a 29 de setembro de 2022, no Pier Mauá - Rio de Janeiro - RJ.;2022-09-26;De 26/09/2022 à 29/09/2022;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2022;Prefeitura Municipal de Macaé;1º Aditivo;Convênio;38.773.648/0001-40;Editora e Distribuidora Educacional S.A;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 27550/2022;Modificação da cláusula primeira, caput  para inclusão dos cursos de Ciências Contábeis e Radiologia, na modalidade de ensino à distância.;2023-04-24;Segue vencimento do instrumento original;R$ 0,00;R$ 0,00;R$ 0,00;
 MP/RJ 013/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.305.936/0001-40;Ministério Público do Estado do Rio de Janeiro;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 36151/2021;Ratificar e regulamentar a cessão da servidora Íris Vieira Suoni Batista para atuação no Ministério Público do Estado do Rio de Janeiro.;2022-05-20;24 (vinte e quatro) meses contados da assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 TRF4 nº 322/2022;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;92.518.737/0001-19;Tribunal Regional Federal da 4ª Região;GABINETE DO PREFEITO;Não se Aplica;; 43815/2022;Cessão do direito de uso do SEI, Sistema Eletrônico de Informações, criado pelo TRF4, para o Município, para utilização em base única.;2022-10-20;60 meses a contar da data da sua publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 SEGOVI/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.498.733/0001-48;Município do Rio de Janeiro;SECRETARIA MUNICIPAL DE POLÍTICAS DE PROMOÇÃO DE IGUALDADE RACIAL;Não se Aplica;; 25048/2022;Executar o Pacto de Combate ao Racismo e Promoção da Igualdade Racial nos municípios brasileiros signatários, por meio da criação da Rede de Cidades Antirracistas.;2022-11-18;18/11/2011 à 31/12/2026;R$ 0,00;R$ 0,00;R$ 0,00;
 OF GP 370/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.916.716/0001-52;Município de Itaperuna;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 32935/2022;Disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2022-10-25;31 de dezembro de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 MAPA 927121/2022 - Plataforma +Brasil 54668/2022;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;00.396.895/0001-25;Ministério da Agricultura, Pecuária e Abastecimento;SECRETARIA MUNICIPAL DE AGROECONOMIA;Não se Aplica;; 44073/2022;Aquisição de máquinas e equipamentos agrícolas.;2022-12-29;24 (vinte e quatro) meses, a contar da data da assinatura;R$ 734.395,00;R$ 8.000,00;R$ 742.395,00;
 SEI 350074/006559/2022;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;42.498.600/0001-71|32.690.668/0001-02;Estado do   Rio de Janeiro|Secretaria de Estado de Polícia Militar (SEPM);SECRETARIA MUNICIPAL DE ORDEM PÚBLICA;Não se Aplica;; 43.865/2022;O presente Termo de Cooperação tem por objeto a soma de esforços com vistas a dar condições ao Município de Macaé, por meio da Secretaria Municipal de Ordem Pública, para exercer e prestar os serviços públicos de sua competência, através do efetivo da Secretaria de Estado de Polícia Militar, consoante à Política Nacional de Segurança Pública e Defesa Social, prevista na lei nº 13.675/18.;2023-05-03;24 (vinte e quatro) meses, a contar da data da assinatura, prorrogáveis, por novo e igual período;R$ 9.651.160,56;R$ 0,00;R$ 9.651.160,56;
 001/2021SEMINF;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;33.050.071/0001-58;CONCESSIONÁRIA AMPLA ENERGIA E SERVIÇOS S/A - ENEL/RJ;SECRETARIA MUNICIPAL DE INFRAESTRUTURA;Não se Aplica;; 75420/2020;Implementação de projeto de eficiência energética no município de Macaé/RJ, visando reduzir o desperdício de energia elétrica através da redução do consumo de energia elétrica e da demanda retirada da ponta, nos termos do Programa de Eficiência Energética da EMPRESA DO GRUPO ENEL e do Procedimento do Programa de Eficiência Energética da ENEEL (PROPEE), aprovada pela Resolução Normativa nº 556 de 02 de julho de 2013 e devidamente alterada pelas Resoluções Normativas nº 830, de 23 de outubro de 2018 e nº 892, de 11 de agosto de 2020, todas da Agência Nacional de Energia Elétrica ("ANEEL"), mediante, doravante denominado Projeto de Eficiência Energética.;2021-08-16;18 MESES;R$ 0,00;R$ 0,00;R$ 0,00;
 09/2021 - Rio de Janeiro;Prefeitura Municipal de Macaé;1º Aditivo;Convênio;42.498.733/0001-48;Município do Rio de Janeiro;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 25.443/2021;Inclusão do parágrafo único à cláusula sexta do Convênio, visando prorrogar o prazo inicialmente estabelecido.;2024-11-25;03 anos e 02 meses, a contar do dia 01 de janeiro de 2025;R$ 0,00;R$ 0,00;R$ 0,00;
 09/2021 - Rio de Janeiro;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.498.733/0001-48;Município do Rio de Janeiro;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 25443/2021;Disciplinamento das rotinas administrativas relacionadas à cessão de servidor pertencente ao Município de Macaé, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2021-10-04;31/12/2024;R$ 0,00;R$ 0,00;R$ 0,00;
